PLOT_NAME,CBH,LAI,TBA,MDBH,MLAI,OLAI,SDHT,SDSD,ULAI,GCvol,MSvol,MaxSD,MaxSH,MaxTH,MinSD,OSvol,SDSHT,USvol,LF_ASP,LF_CBD,LF_EVC,LF_EVT,MeanSA,MeanSD,MeanSH,MeanTH,TreesN,latlon,LF_EVEL,LF_SLPD,ShrubsN,LF_FDist,Basalarea,LF_FBFM13,LF_FBFM40,shrubArea,Unnamed: 0,scaledShrubArea
CASBC_0002_20240910_1,2.7,1.5,7.9,12.0,0.8,0.0,1.8,5.3,0.8,0.1,0.3,22.4,3.0,9.9,0,0.0,0.3,0.1,115,0,Shrub Cover = 42%,Southern California Coastal Scrub,6.9,7.6,2.9,7.5,9,"[34.69415420560565, -120.05469847991732]",408,8,24,No Disturbance,62.9,FBFM5,GS2,165.4,25%,1312.8
CASBC_0002_20241116_1,2.8,1.5,2.4,7.8,0.9,0.0,1.1,5.4,0.8,0.1,0.3,22.3,3.0,9.9,0,0.0,0.2,0.1,115,0,Shrub Cover = 42%,Southern California Coastal Scrub,6.1,8.2,2.9,8.1,6,"[34.69415420560565, -120.05469847991732]",408,8,31,No Disturbance,18.0,FBFM5,GS2,189.6,25%,1415.4
CASBC_0003_20240910_1,2.0,0.7,4.6,16.2,0.3,0.0,0.5,6.7,0.6,0.1,0.1,26.4,3.0,7.8,0,0.0,0.2,0.1,242,0,Shrub Cover = 38%,Northern and Central California Dry-Mesic Chaparral,5.9,10.1,2.9,7.3,3,"[34.694045981251755, -120.05357826746662]",413,5,24,No Disturbance,38.6,FBFM5,SH4,142.3,25%,1204.7
CASBC_0004_20241116_1,4.0,1.1,7.7,13.9,0.8,0.0,1.6,5.8,0.5,0.1,0.3,24.6,3.0,11.3,0,0.0,0.2,0.1,130,6,Tree Cover = 36%,California Lower Montane Foothill Pine Woodland and Savanna,7.4,9.4,3.0,10.2,7,"[34.69359376487778, -120.05426000326779]",391,8,31,No Disturbance,46.9,FBFM5,SH4,230.5,25%,1400.9
CASBC_0005_20240911_1,2.1,0.5,1.4,8.8,0.2,0.0,0.4,4.9,0.4,0.1,0.1,16.5,3.0,7.2,0,0.0,0.7,0.0,261,0,Shrub Cover = 40%,Northern and Central California Dry-Mesic Chaparral,5.4,6.7,2.6,7.0,2,"[34.69333560245864, -120.0532760741843]",412,12,12,No Disturbance,12.5,FBFM4,SH5,64.8,25%,596.3
CASBC_0005_20241116_1,2.2,0.4,6.1,11.4,0.2,0.0,1.3,5.5,0.3,0.1,0.0,20.1,3.0,9.2,0,0.0,0.6,0.0,261,0,Shrub Cover = 40%,Northern and Central California Dry-Mesic Chaparral,6.1,7.0,2.7,7.1,7,"[34.69333560245864, -120.0532760741843]",412,12,11,No Disturbance,38.2,FBFM4,SH5,66.6,25%,414.1
CASBC_0006_20240911_1,2.6,0.7,11.1,16.0,0.4,0.0,2.6,5.0,0.4,0.1,0.1,20.6,3.0,10.7,0,0.0,0.3,0.1,245,1,Tree Cover = 34%,California Coastal Live Oak Woodland and Savanna,6.1,6.5,2.9,8.6,7,"[34.69309557296027, -120.05378658566906]",390,16,20,No Disturbance,84.6,FBFM5,GS3,122.3,25%,933.9
CASBC_0006_20241117_1,3.0,0.6,5.2,13.0,0.3,0.0,2.6,4.6,0.3,0.1,0.1,16.2,3.0,11.5,0,0.0,0.1,0.0,245,1,Tree Cover = 34%,California Coastal Live Oak Woodland and Savanna,6.0,5.6,3.0,9.5,5,"[34.69309557296027, -120.05378658566906]",390,16,17,No Disturbance,32.2,FBFM5,GS3,102.8,25%,638.1
CASBC_0007_20240911_1,2.9,0.8,0.2,5.3,0.3,0.0,0,5.6,0.6,0.1,0.2,22.9,3.0,5.3,0,0.0,0.2,0.1,217,0,Shrub Cover = 36%,Northern and Central California Dry-Mesic Chaparral,7.2,7.8,2.9,5.3,1,"[34.69237252913373, -120.05296102438304]",414,7,29,No Disturbance,0.9,FBFM5,SH4,209.3,25%,1305.1
CASBC_0008_20240911_1,2.8,0.7,6.3,11.6,0.4,0.0,1.4,4.5,0.4,0.1,0.2,19.5,3.0,10.2,0,0.0,0.0,0.1,253,1,Tree Cover = 34%,California Coastal Live Oak Woodland and Savanna,7.1,5.4,3.0,7.7,8,"[34.692245320959465, -120.05366396047476]",384,14,22,No Disturbance,47.3,FBFM5,GS3,155.7,25%,1167.2
